author_name,video_id,text,summary,entities,topic
..rafaelson.xuanson,7456260275566562603,Em đã ngủ say còn anh thì mãi mãi nỗi nhớ em trong,Phía sau em vẫn còn một người dõi theo anh trong khi anh thì mải mê nỗi nhớ người ấy .,[],đất nước
..rafaelson.xuanson,7457761418470280494,Bạn có nghe âm thanh điện thoại Tương Lai bao la bao la lớn hơn Quê Hương Việt Nam Ơi,Tương Lai bao la bao la lớn hơn Quê Hương Việt Nam Ơi .,"[{'entity': 'Việt Nam', 'type': 'LOC'}]",đất nước
..rafaelson.xuanson,7467515366177213742,cho tôi ôm ôm mỗi tối mình vẫn như khi chưa hết bao giờ một mình ôm nhau để cô đơn người ta yêu nhau đến cuối cơn gió mong manh về nhau,Mỗi tối thứ bảy tình yêu đến sau cánh cửa năm cũ mọi thứ lại vỡ vụn khi vòng tay yêu thương gửi về tôi một vòng tay siết chặt để được về với nhau đi về nơi những cơn gió đã mang tên nỗi nhớ và tôi là một trong những nỗi buồn của gió kiểu vậy .,[],đất nước
.nguyen.tan.duy,7263833974328462593,Oppo a57 hiện tại giá máy vẫn bằng nhau 490 nhưng hiện tại thì 21 bộ 28 ngày được nâng cấp lên là ram 6 GB và vào nhóm 128 để sinh viên trong đó có gì đặc biệt nha các bạn video họ mới về Oppo thì phụ kiện ốp lưng trong cây chùm Sim karaoke nhạc trữ tình có một đèn flash trên Oppo a58 Đợt này nó làm Bật Bluetooth nhưng mà có phần mềm mại hơn so với cái giọng của iPhone 7 nha khoa mỏng hơn nhẹ hơn nhưng mà dung lượng pin vẫn là 5 có hỗ trợ sạc nhanh 30w giống như phiên bản Oppo a57 nếu so sánh về mức giá Thì mình khuyên các bạn nên mua Oppo A5 tốt hơn nha Oppo a58 thì được nâng cấp Android 9 6 bi chi mạnh hơn camera trước là camera đọc lỗi gì màn hình của nó hiển thị nó đẹp hơn nữa Máy hiện tại đã có mặt trên hệ thống thế giới động và điện máy xanh toàn quốc thì cho Thế Giới Di Động điện máy xanh để trong cổ Nhớ ok rồi Các bạn muốn mình review,Máy này mình thấy cũng không có gì đặc biệt so với cái máy trước đây thôi các bạn đừng hỏi tại sao không có cái gì đặc biệt mà chỉ có mỗi cái là có thôi nha . Còn nếu nói về hiệu năng thì mình khuyên các bạn nên mua Oppo a58 nha .,"[{'entity': 'Oppo a57', 'type': 'MISC'}, {'entity': 'Oppo', 'type': 'MISC'}, {'entity': 'Oppo a58', 'type': 'MISC'}, {'entity': 'Bluetooth', 'type': 'MISC'}, {'entity': 'iPhone 7', 'type': 'MISC'}, {'entity': 'Oppo a57', 'type': 'MISC'}, {'entity': 'Oppo A5', 'type': 'MISC'}, {'entity': 'Oppo a58', 'type': 'MISC'}, {'entity': 'Android 9 6', 'type': 'MISC'}, {'entity': 'Thế Giới Di Động', 'type': 'ORG'}]",công nghệ
.thu.huyn.flycam,7434388501011074311,sử dụng mini 3 xâm nhập Bắc Giang sang Bắc Giang có gì nhé làm trái tim tình yêu nụ cười đã lâu anh mới thấy đôi mắt sáng em ở đây chuyện thầm kín và chỉ mong trong cơn say Anh có thể có một người lần đầu không nói làm sao,"Sử dụng mini 3 xâm nhập Bắc Giang , các đối tượng trong nhóm ' Tứ giác vàng ' dễ dàng vượt qua ải 312 ở Diễn biến 488 , Mai Văn Phấn và Cao Bằng chiếm 60,47 % tổng số người tham gia nhóm ' Tứ giác vàng ' .","[{'entity': 'Bắc Giang', 'type': 'LOC'}, {'entity': 'Bắc Giang', 'type': 'LOC'}]",đất nước
.thu.huyn.flycam,7437355927805709576,chưa bao giờ sở hữu dji mini 3 lại dễ dàng đến như vậy một dòng Flycam hỗ trợ khung hình dọc chất lượng cao 4k 30shine bay cao 500 m tấm xa đến 10 cây thích hợp cho những anh chị làm vlog bất động sản hoặc mang đi du lịch thì cũng rất là thuận tiện và nhỏ gọn hiện tại Nigeria mini 3 đang được hãng trợ giá rất là tốt đặc biệt là bàn tay DC anh chị nào có nhu cầu thì liên hệ em Huyền để được tư vấn và hỗ trợ giá tốt nhất nhé,Với khả năng bay cao 500 m cùng với khả năng ghi hình 30s anh chị em có thể dễ dàng sở hữu cho mình một chiếc dji mini 3 vô cùng tiện lợi .,"[{'entity': 'dji mini 3', 'type': 'MISC'}, {'entity': 'Nigeria mini 3', 'type': 'MISC'}, {'entity': 'Huyền', 'type': 'PER'}]",đất nước
0shop7,7435828626576198920,Có bác nào mua cái mẫu Tai nghe bé tí tì ti này bấm giá 500k em không bán có bác nào mua hai cái với mức giá bán hơn một triệu nhưng mà em cũng không bán nhưng mà ngày hôm nay có bác nào mua thông tin của em nè một bộ tai nghe là gồm hai cái với một cái cốc sạc như thế này nha em sẽ để cho bác mức giá bán trải nghiệm chưa Đúng là 79 chai thôi kèm theo là cáp sạc nè bao tay chơi game nè và một cái bộ ticker siêu dễ thương như này luôn nha thì đây là cái dòng tai nghe dạng dấu kín dùng để tao đi ngủ ha cái bắt đầu lên trên tay một phát nè Ha đó nó nằm gọn trong cái phần hút tay của mình như thế này luôn nha Nó không có loại phần tai nghe ra phía bên ngoài nên là khi bắt nằm trên gối nè đó rất là thoải mái luôn nó bắt nằm ngửa nằm nghiêng nè Ngửa lên ngửa xuống nè nghe nhạc từ tối tới sáng luôn Nếu không không gây cứng tay cho mình cực kỳ là thoải mái và êm tai luôn một số bạn sẽ thắc mắc là đeo như vậy nó có dễ bị rớt không đúng không Thì em sẽ test thử cho bác xem luôn nha đó đeo lên trên tay một phát trong tay của mình luôn nha các bác vận động thoải mái luôn đó chạy bộ nhảy dây đánh cầu nha tham gia thể thao thoải mái luôn mà không sợ nó bị rơi rớt đâu Ha tao bám rất là chất vô trong cái phần hot tay của mình luôn nha Còn về chất âm thì em sẽ cho bác nghe thử cho bác tự trải nghiệm được luôn nha Ngoài ra trên tai nghe còn hỗ trợ bất đồng thoại Lục Âm chống ồn luôn nha họ có nút bấm ở trên đây nè Đó bấm một chạm bắt mấy cuộc gọi Bấm hai trận từ chú cuộc gọi nghe gọi điện thoại cực kỳ to rõ luôn đây cũng là cái dòng tai nghe dạng tai nghe giấu kín các bác leo lên một phát nè đó nhìn thẳng cực kỳ là khó thấy luôn nha Các bác có thể là do đi học phần nào vô trong lớp học thì không sợ giáo viên phát hiện ra nên đi làm được luôn nè vô trong công ty thì không sợ sếp phát hiện ra Hoặc là các bác nào Đội mũ bảo hiểm đội mũ fullface đội mũ 3/4 nè Đó đội cũng rất là êm tai luôn ha Nó không may cứng tay cho mình nhưng mà mỏi tay ngang truyền thống trước đây luôn ha nguyên nhân này cũng rất là ngon luôn các bác nghe được liên tục phải là 6 tiếng ha Nghe hát Cứ Bỏ lại vào trong nốt sạch như thế này thôi đốt sạch sẽ tự động sạc cho tai nghe được khoảng 4 lần nữa ha các bác tha hồ đi chơi đi du lịch tầm khoảng 3-4 ngày nữa mới sạc pin một lần nha đó thiết kế rất là đẹp luôn cực kỳ mini nhỏ gọn thôi các bác để trong túi áo nè Để trong túi quần nè Để trong balo túi xách để đi du lịch thì rất là tiện luôn ha Hôm nay thì cái này cũng đã về Đụ má màu rồi rất là nhiều máu màu mới cực kỳ là đẹp luôn cho bác tha hồ Lựa Chọn luôn nha và vì đây là sản phẩm mới nên shop nên cần số lượng bán và số lượng đánh giá người ta bán giá rất là rẻ luôn Các bác mua thông tin của em ngày hôm nay giá chân Đúng là 79 k thôi là được free ship tận nhà luôn chứ cái bác nào thích dùng sản phẩm tai nghe dùng để đem đi ngủ nè Đưa nó thoải mái nhẹ nhàng mà nó êm tai này á thì nhớ là nhanh tay bấm vô trong giỏ hàng màu vàng vàng Úc đây nè một ngày trung bình của em luôn nha,Dòng tai nghe này có gì đặc biệt mà lại có thể nghe nhạc liên tục đến tận sáng luôn nha các bác ơi .,[],công nghệ
10000review,7414689241432608018,hôm nay mình sẽ hướng dẫn cho các bạn sử dụng đồng hồ t800 bromax các bạn mở hộp ra thì sẽ có một hướng dẫn sử dụng bản quốc tế còn này là mặt đồng hồ và hai cái dây quai mình sẽ lấy mặt đồng hồ ra rồi cầm dây quay lên sau đó xếp vào như vậy nhé Làm tương tự với bên còn lại vậy là OK rồi đó tiếp theo Mình sẽ bấm giữ nút nguồn trong 2 giây để khởi động đồng hồ lên mới đầu thì đồng hồ sẽ không hiển thị đúng thời gian và ngôn ngữ nên sẽ phải vào cài đặt lại hết nhé các bạn bấm vào nút nguồn một cái rồi kéo xuống phía dưới chọn tiếp vào phần o áp tìm đến biểu tượng bánh răng để bắt đầu cài đặt chọn tiếp vào sát language để cài đặt ngôn ngữ kéo xuống phía dưới cùng và chọn tiếp vào tiếng Việt nhé Như vậy là đồng hồ đã chuyển qua tiếng Việt rồi đó tiếp tục chọn vào bánh răng để cài đặt thời gian chọn cài đặt thời gian giờ chọn cho đúng với thời gian thực tế nhé Xong bấm vào nút vi thì nó sẽ lưu tiếp theo là cài đặt ngày tháng chọn và đặt ngày rồi chỉnh thời gian lại cho đúng rồi chọn vào nút vi là được nhé như vậy là đã đúng ngày đúng giờ và đúng tháng theo thực tế của một đồng hồ thông thường giỏi nhất tiếp theo để sử dụng những tính năng thông minh hơn thì bạn phải tải app hiwatch Pro về nhé bấm cài đặt Chờ xíu để hệ thống cài xong thì mình mở ứng dụng ra thôi cài xong rồi đó giờ mở ứng dụng ra rồi bấm vào cho phép nhé rồi Các bạn chọn vào của tôi chọn đăng nhập rồi Các bạn chọn đăng ký ở góc trái trên đây sau đó có tài khoản rồi mới dùng đăng nhập vào nhưng mình vậy nhé Giờ bật bluetooth điện thoại lên rồi thao tác đồng hồ chọn biểu tượng có cột sóng này chọn Khởi đầu thì hệ thống sẽ tự động dò tìm bluetooth đó bấm ghép đôi là xong như vậy là điện thoại đã kết nối với đồng hồ t800 pro Max rồi nhé Giờ thì bạn có thể gọi điện cho người khác được rồi như vậy đấy bạn vẫn núm này để đổi giao diện nhưng nếu bạn muốn đổi giao diện đẹp hơn thì vào đây nhé rồi chọn vào cài đặt mặt đồng hồ trong đây có rất nhiều chủ đề bạn thích chủ đề nào thì cài chủ đề đó chủ đề hiện tại của mình là bí ngô nhé giờ mình sẽ thử cài sang chủ đề kế bên xem thử Các bạn bấm vào install rồi bấm vào hiểu rồi đó chờ một chút để hệ thống cài đặt như vậy là giao diện mới đã xuất hiện trên mặt đồng hồ rồi nha Dĩ nhiên là còn nhiều tính năng hay ho khác chú ngựa này có thể thay đổi màu sắc được nhé bấm vào nút nguồn để trở về kéo xuống phía dưới để vào mục áo các tính năng về sức khỏe như như chọn vào mục này để đo huyết áp cho Xíu sẽ nhảy kết quả nhé cho 119981 nhé tương tự như vậy chọn vào đây để đó spo2 chờ xíu là có kết quả thôi đó 98 các bạn ạ tiếp tục bấm vào đây để đo điện tâm đồ nhé có kết nối trực quan với điện thoại luôn à Chờ xíu sẽ có bảng kết quả như vậy đó Và còn khá nhiều tính năng khác các bạn phải tự khám phá nhé Còn sạc pin thì mình sẽ áp mặt sau đồng hồ vào cục tròn này nhớ là sạc mặt này không được là phải đảo lại mặt khác nhé các bạn chỉ nên sạc vài tiếng sẽ đầy pin rồi rút ra ngay không nên để sạc qua đêm đâu nhé Một lưu ý quan trọng nữa là điện thoại này nghe gọi thì các bạn kết nối Bluetooth với điện thoại để nghe gọi nhé chứ không có lắp sim trực tiếp vào đồng hồ theo mình với Giá quá rẻ chỉ hơn 100k ngoài những chức năng xem ngày giờ thông thường mà còn có những tính năng khác như thế thì đã là quá ổn rồi các bạn ạ chắc chắn sẽ không thể có một sản phẩm quá tốt ở mức giá quá rẻ được mà chỉ có một sản phẩm tốt trong tầm giá Bạn muốn mua trải nghiệm thì Click vào giỏ hàng góc trái để đặt về nhé,Bạn hãy mở hộp ra rồi bấm vào nút nguồn trong 2 giây để khởi động đồng hồ lên nếu không muốn đeo đồng hồ t800 bromax nữa nhé .,"[{'entity': 't800 bromax', 'type': 'MISC'}, {'entity': 'Việt', 'type': 'MISC'}, {'entity': 'Việt', 'type': 'MISC'}, {'entity': 'hiwatch Pro', 'type': 'MISC'}, {'entity': 't800 pro Max', 'type': 'MISC'}]",công nghệ
11thg03_,7456670495690198280,má nó mày làm thương cái thằng lùn lùn nó mẹ rồi,Cái thằng cha lùn lùn nó mẹ nó cũng lùn lùn như mày làm thương cái thằng lùn lùn nó mẹ rồi có con mắt tí hon nó cũng lùn nốt luôn .,[],đất nước
24h.sports,7383638618595740936,nhảy nhót trên nền nhạc hot top Việt Nam sao trẻ Tây Ban Nha gây chú ý với xì tai mặc quần quá đẳng cấp luôn,Sao Tây Ban Nha nhảy nhót trên nền nhạc hot top Việt Nam luôn là chủ đề thú vị cho các bạn trẻ .,"[{'entity': 'Việt', 'type': 'LOC'}, {'entity': 'Tây Ban Nha', 'type': 'LOC'}]",đất nước
