,author.uniqueId,total_views,avg_views,total_likes,avg_likes,total_comments,total_shares,total_collects,total_reposts,total_videos,followers,engagement_rate
0,...hong_anh...93,4343,4343.0,332,332.0,5,1,8,0,1,6149,0.07966843195947501
1,.a.mukbang,1306308,1306308.0,51121,51121.0,335,1216,2215,0,1,101400,0.04201689035051458
2,.angihomnay,267,267.0,23,23.0,4,4,0,0,1,7,0.11610486891385768
3,.banhsukem,23768603,3395514.714285714,948173,135453.2857142857,9135,43139,91250,0,7,191800,0.04593021306300585
4,.binhhai,217,217.0,21,21.0,0,0,1,0,1,1639,0.10138248847926268
5,.bloxfuit,551886,551886.0,4965,4965.0,465,4491,1387,0,1,1276,0.02048973882287284
6,.bnh.m014,326,163.0,8,4.0,0,0,1,0,2,44,0.027607361963190184
7,.coanvattuoitho,1057,1057.0,35,35.0,1,2,3,0,1,54,0.03878902554399243
8,.com____________,1221,1221.0,30,30.0,5,2,2,0,1,23,0.03194103194103194
9,.cuongbaotu,4651730,4651730.0,59088,59088.0,4199,67543,3468,0,1,5837,0.028870549236520607
10,.dacsantaybac,2460,2460.0,637,637.0,144,116,112,0,1,1127,0.41016260162601625
11,.dang_an_com,513408,513408.0,4194,4194.0,396,844,169,0,1,783,0.010913347668910497
12,.diande,637641,212547.0,22763,7587.666666666667,218,2482,4034,0,3,83500,0.04625957239261591
13,.dommmmm.chuaaaaa,5061,5061.0,297,297.0,16,1,35,0,1,1408,0.0689587038134756
14,.jp.in.vietnam,167983,167983.0,8380,8380.0,159,107,204,0,1,5279,0.052683902537756795
15,.mebanhbao20,9589690,4794845.0,90528,45264.0,2109,6129,10777,0,2,77700,0.011422996989475156
16,.nhn183,2395969,2395969.0,59712,59712.0,3575,15646,7413,0,1,22700,0.03603802887266071
17,.nm.3446,72417,72417.0,809,809.0,707,56,122,0,1,602,0.02339229738873469
18,.tanannguyen,3032,3032.0,93,93.0,9,3,8,0,1,2303,0.03726912928759894
19,.toan292,787,196.75,90,22.5,1,1,6,0,4,3364,0.12452350698856417
20,05061993chomthao,2005522,1002761.0,51306,25653.0,800,1387,8256,0,2,7048,0.030789490217509458
21,05th5anhsinh28hoabinh,170842,170842.0,10059,10059.0,493,4310,708,0,1,139900,0.09113683988714719
22,0808van01,3343,3343.0,237,237.0,34,0,5,0,1,4332,0.08256057433443015
23,0_0nguyenngocluan0_0,245,245.0,9,9.0,3,0,0,0,1,13,0.04897959183673469
24,0_18888,31549,31549.0,1692,1692.0,16,35,24,0,1,1618,0.056008114361786425
25,1000flz,1052,350.6666666666667,18,6.0,2,0,0,0,3,148,0.019011406844106463
26,1001days.rongchoi,1069999,1069999.0,32152,32152.0,1033,3983,5573,0,1,53400,0.03994489714476369
27,100t1p,375464,375464.0,7218,7218.0,16,7,33,0,1,15700,0.01937336202671894
28,109_hoahong,207420,207420.0,4535,4535.0,225,399,1875,0,1,1202,0.033911869636486354
29,1108ng,5714598,714324.75,123447,15430.875,1763,17832,28799,0,8,84600,0.030070531645445576
30,12inni3vita,58955,58955.0,1743,1743.0,31,778,863,0,1,63900,0.05792553642608769
31,133508062fgh,327215,327215.0,32140,32140.0,409,3220,3961,0,1,2514,0.12141863912106719
32,15101996b,9456,9456.0,52,52.0,2,3,0,0,1,1749,0.006027918781725888
33,168.phuc,2860682,2860682.0,12000,12000.0,295,36932,786,0,1,536500,0.017482893939277416
34,17th333,1575582,1575582.0,139308,139308.0,2117,9000,3632,0,1,31000,0.09777783701514742
35,17tiktok202,30353,30353.0,519,519.0,11,6,20,0,1,5100,0.01831779395776365
36,1803_nth,371,185.5,44,22.0,3,3,0,0,2,312,0.1347708894878706
37,1969.14pt,4218103,4218103.0,107610,107610.0,1077,5889,4619,0,1,39300,0.028257963354616993
38,1992at,61609,61609.0,206,206.0,35,93,18,0,1,174,0.005713450956840721
39,1994hairsalon.com,871242,871242.0,7562,7562.0,223,1571,2834,0,1,6574,0.013991520151691493
40,1997tea,97836,97836.0,2886,2886.0,58,248,1265,0,1,135200,0.04555582812052823
41,1chutvungtau,179067,179067.0,2171,2171.0,240,501,436,0,1,2716,0.018696912328904823
42,1m63.com,5975,5975.0,44,44.0,1,4,3,0,1,406,0.008702928870292887
43,1phutsaigon,9260256,544720.9411764706,272653,16038.411764705883,5838,71146,85198,0,17,199900,0.04695712515939084
44,21.th.05_,80,80.0,9,9.0,2,0,1,0,1,2251,0.15
45,2177473753,702,140.4,42,8.4,3,3,0,0,5,21,0.06837606837606838
46,21mda.saigon,9999,9999.0,213,213.0,1,4,12,0,1,540,0.023002300230023004
47,23.11.loan,86112,86112.0,2022,2022.0,0,240,134,0,1,7333,0.027824228911185432
48,25._.o8,996271,996271.0,67787,67787.0,290,572,2809,0,1,1878,0.07172546425621142
49,25noibanh,145,145.0,2,2.0,1,0,1,0,1,3,0.027586206896551724
50,2612tunguyen,947,947.0,28,28.0,2,1,3,0,1,1413,0.03590285110876452
51,264hn,40413,40413.0,1130,1130.0,39,570,801,0,1,1416,0.06285106277682924
52,2anhemreview,12762,12762.0,114,114.0,4,16,25,0,1,2772,0.012458862247296662
53,2aw.hair.studio,2043019,2043019.0,43219,43219.0,466,1223,5178,0,1,14900,0.024515679981439234
54,2himhim,1393515,1393515.0,64537,64537.0,369,452,2419,0,1,13200,0.0486374384201103
55,2hom_nay_an_gi,29847,14923.5,1027,513.5,34,209,517,0,2,9238,0.059872013937749186
56,2k10_thidocap3,55303,55303.0,2142,2142.0,32,179,788,0,1,47100,0.05679619550476466
57,2na_027,385,385.0,39,39.0,2,0,0,0,1,120,0.10649350649350649
58,2themthian,7635617,7635617.0,58911,58911.0,593,862,4394,0,1,439400,0.008481305440018795
59,3.tienn,3774046,3774046.0,114161,114161.0,1252,21986,45723,0,1,19400,0.04852140116999104
60,30418624033thuhoa,32879,32879.0,589,589.0,173,36,11,0,1,11600,0.024605371209586665
61,30533588873,239,239.0,11,11.0,4,0,1,0,1,261,0.06694560669456066
62,30668058497,45,45.0,16,16.0,1,0,0,0,1,2,0.37777777777777777
63,30668685017,1606,401.5,59,14.75,11,2,0,0,4,31,0.0448318804483188
64,30792147857,141,141.0,14,14.0,3,0,0,0,1,4,0.12056737588652482
65,30880776849,388,64.66666666666667,17,2.8333333333333335,2,0,0,0,6,50,0.04896907216494845
66,30days__giamcanlanhmanh,22315721,162888.47445255474,645255,4709.890510948905,6553,23662,97721,0,137,112900,0.03464781621888892
67,30daysgiamcantainha,72667,72667.0,2348,2348.0,77,263,1520,0,1,2004,0.05790799124774657
68,31717267585,492,123.0,12,3.0,1,2,0,0,4,397,0.03048780487804878
69,31859561441,343,85.75,32,8.0,5,0,0,0,4,3,0.10787172011661808
70,333d4j,5809553,5809553.0,1031892,1031892.0,4024,60053,114309,0,1,13900,0.20832549423337735
71,365vietcom,1566,1566.0,45,45.0,4,1,2,0,1,85,0.033205619412515965
72,3doibanhutieu,617,617.0,12,12.0,1,2,3,0,1,768,0.029173419773095625
