video_path,duration_seconds,subtitle_text
data/raw/videos\cothebanchuabiet\bancobiet48_7456068906801794322.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\blogtamsu.nghenghiep_7462187075807218951.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\bobaconboi__7312790695184436481.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\bobaconboi__7336169176651828481.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\caocuongvu_6984785929382743322.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\caocuongvu_7062287293863841051.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothe.banchuabiet_6989949912041475354.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiet08_7237734108762262785.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiet08_7241514751337975042.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiet08_7264423536398175495.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiet08_7275280853113031943.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiet08_7282623691895229714.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiet08_7282981602626424071.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiet08_7284464745841691911.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiet08_7293741112299195656.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiet08_7295213896678378760.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiet08_7295680422762089746.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiet48_7442855961141742891.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiiet_7256759420275674395.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiiet_7279274227914591520.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuabiiet_7298148581863705888.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cothebanchuatungbiet_7317346644582747425.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\cuongfox_7147875975299157274.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\dangthicamhang56983_7433633011993693448.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\davoslingo_7192896728125754651.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\davoslingo_7196978142987291930.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\davoslingo_7254496595167743238.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\doroi14_7024484607290641691.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\dundun.22_7295255984933588226.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\dxbged_6934595217060285697.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\gianghomang247_7411090218905849105.mp4,0,No subtitles found
data/raw/videos\cothebanchuabiet\hocvahoi17022024_7442765435642072327.mp4,0,No subtitles found
