,username,total_views,avg_views,total_likes,avg_likes,total_comments,total_shares,total_collects,total_videos,engagement_rate,post_freqency,food_related_videos,food_video_percentage
0,.banhsukem,129723993.0,400382.69444444444,4459738.0,13764.623456790123,48486.0,402253.0,637857.0,324,0.04277029924603076,1.971545138888889,160,49.382716049382715
1,1108ng,60360709.0,179644.96726190476,1240351.0,3691.5208333333335,25571.0,163195.0,276489.0,336,0.02825689141590434,1.7420138888888888,336,100.0
2,1phutsaigon,32577503.0,75761.63488372094,1483889.0,3450.9046511627907,22014.0,189799.0,236164.0,430,0.05930061613377796,1.026712962962963,182,42.32558139534884
3,30days__giamcanlanhmanh,4378200.0,19287.224669603525,109516.0,482.44933920704847,3846.0,6301.0,20521.0,227,0.032018637796354665,1.1009635416666665,222,97.79735682819384
4,_tidofood,249864500.0,957335.2490421456,6853142.0,26257.249042145595,67344.0,67272.0,372415.0,261,0.029456657508369535,2.0,41,15.708812260536398
5,_trinhhavi_,168469700.0,996862.1301775147,10756398.0,63647.325443786984,36737.0,184304.0,417163.0,169,0.06763591316420697,3.8032609953703704,0,0.0
6,_ttqueen,814534800.0,4242368.75,44166000.0,230031.25,341710.0,600980.0,1595971.0,192,0.05733906151093851,3.0317881944444447,1,0.5208333333333333
7,amthuc48h,84795230.0,335159.0118577075,2330036.0,9209.628458498024,18010.0,19726.0,52698.0,253,0.02854488395160907,2.9875520833333336,233,92.09486166007905
8,amthuccohuong,54799853.0,434919.4682539682,1767005.0,14023.849206349207,47451.0,31218.0,52388.0,126,0.03463626079434921,2.0077314814814815,95,75.39682539682539
9,amthuctrunghoadaily,18610035.0,224217.2891566265,391936.0,4722.120481927711,6361.0,45640.0,48578.0,83,0.026465022768629935,1.1351157407407408,83,100.0
10,anchoidieunghe,70671500.0,436243.8271604938,1964928.0,12129.185185185184,14679.0,130778.0,254363.0,162,0.033461126479556826,3.686215277777778,139,85.80246913580247
11,anchoivungtau72,311750792.0,152073.55707317073,6857444.0,3345.0946341463414,219197.0,1621856.0,1810223.0,2050,0.033708719495410294,0.3043518518518518,323,15.75609756097561
12,ancungdaune,124409200.0,227024.08759124088,3747630.0,6838.740875912409,68671.0,683158.0,742122.0,548,0.042131779643306125,1.0030266203703704,548,100.0
13,angithuongoi,494879300.0,937271.4015151515,14467884.0,27401.295454545456,155612.0,757698.0,693217.0,528,0.03248147780681067,1.0023090277777778,516,97.72727272727273
14,annhungkhongbeo,153762755.0,489690.3025477707,4059945.0,12929.761146496816,57826.0,354104.0,369811.0,314,0.031488028424048464,1.996736111111111,314,100.0
15,annievu259,141366754.0,410949.86627906974,4409525.0,12818.386627906977,65446.0,750687.0,893955.0,344,0.04328891218652442,1.9571469907407408,323,93.8953488372093
16,ansaphanoi,117312900.0,558632.8571428572,3543597.0,16874.27142857143,33127.0,139028.0,258865.0,210,0.0338804769125987,2.9852430555555554,208,99.04761904761905
17,ansapsaigon,100225178.0,205801.1868583162,2727177.0,5599.952772073922,46231.0,654356.0,926312.0,487,0.043442936065426596,1.110066550925926,474,97.3305954825462
