"AIGCDescription,BAInfo,CategoryType,adAuthorization,adLabelVersion,aigcLabelType,author.commentSetting,author.downloadSetting,author.duetSetting,author.ftc,author.id,author.isADVirtual,author.isEmbedBanned,author.nickname,author.openFavorite,author.privateAccount,author.relation,author.secUid,author.secret,author.signature,author.stitchSetting,author.ttSeller,author.uniqueId,author.verified,authorStats.diggCount,authorStats.followerCount,authorStats.followingCount,authorStats.friendCount,authorStats.heart,authorStats.heartCount,authorStats.videoCount,collected,createTime,desc,digged,diversificationId,duetDisplay,duetEnabled,duetInfo.duetFromId,forFriend,id,isAd,itemCommentStatus,itemMute,item_control.can_repost,music.album,music.authorName,music.duration,music.id,music.isCopyrighted,music.original,music.title,officalItem,originalItem,playlistId,privateItem,secret,shareEnabled,showNotPass,stats.collectCount,stats.commentCount,stats.diggCount,stats.playCount,stats.shareCount,statsV2.collectCount,statsV2.commentCount,statsV2.diggCount,statsV2.playCount,statsV2.repostCount,statsV2.shareCount,stitchDisplay,stitchEnabled,textLanguage,textTranslatable,video.VQScore,video.bitrate,video.claInfo.captionsType,video.claInfo.enableAutoCaption,video.claInfo.hasOriginalAudio,video.claInfo.originalLanguageInfo.canTranslateRealTimeNoCheck,video.claInfo.originalLanguageInfo.language,video.claInfo.originalLanguageInfo.languageCode,video.claInfo.originalLanguageInfo.languageID,video.codecType,video.definition,video.duration,video.encodeUserTag,video.encodedType,video.format,video.height,video.id,video.ratio,video.size,video.videoQuality,video.volumeInfo.Loudness,video.volumeInfo.Peak,video.width,vl1,collectedTime,isECVideo,item_control.can_comment,item_control.can_creator_redirect,item_control.can_music_redirect,item_control.can_share,video.claInfo.noCaptionReason,poi.address,poi.category,poi.city,poi.cityCode,poi.country,poi.countryCode,poi.fatherPoiId,poi.fatherPoiName,poi.id,poi.name,poi.province,poi.ttTypeCode,poi.ttTypeNameMedium,poi.ttTypeNameSuper,poi.ttTypeNameTiny,poi.type,poi.typeCode,music.playUrl,brandOrganicType,event.event_id,event.event_start_time,event.has_subscribed,event.title,author.roomId,audio_to_text",desc,stats.playCount,stats.diggCount,stats.shareCount,stats.commentCount,video.duration,clean_desc,hashtags,engagement_rate
",,120,False,0,0,0,0,0,False,7124128079882044443,False,False,kicap.official,False,False,0,MS4wLjABAAAAzvkWjgnqY8SYvqo5B6Ptb8fw7WK3bvgGvOa5oopWQTa9RsNq-rKphgkGdfYoLfdV,False,Review chuyên sâu về bàn phím cơ. Build và mods phím custom inbox ạ,0,True,kicap.official,False,777,19600,18,0,257300,257300,102,False,1716015035,Cách để build một chiếc bàn phím cơ âm creamy cùng Lucky65 #banphimco #viral #thanhcongnghe #keyboard #kicap #lucky65 ,False,10067.0,0,True,0,False,7370228415854546192,False,0,False,True,,G-axis sound music,84,7122525710182254593,False,False,""Summer tropical sound, exhilarating / beach / sunny(1281595)"",False,False,7331534529080412934,False,False,True,False,8001,553,69300,1400000,1803,8001,553,69272,1367785,0,1803,0,True,vi,True,68.74,1238617,1.0,True,True,True,vie-VN,vi,10,h264,540p,121,,normal,mp4,1024,7370228415854546192,540p,18845262,normal,-37.8,0.19055,576,False,1738794336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""Đây là cách để mình Build một chiếc bàn phím cơ có âm Creamy như này Đầu tiên thì mình sẽ sử dụng con chip Lucky 65 con này thì màu Milky White giá tầm 1 triệu anh em nhé khung nhôm CNC 3 chế độ kết nối và có tạ ở dưới hình cỏ bốn lá rất là đẹp Lucky 65 thì sử dụng Flash PC plate rất là mềm và có sẵn đủ 4 lớp pha Farm PCP thì được làm bằng coron from Switch là ipxe và thêm một lớp fanpage giúp âm nhỏ tốt hơn tuy nhiên thì video này mình lưu âm Creamy lên sẽ bỏ đi nhé Ở dưới PCP chỉ có hai nước Pháp nữa cao su tiến hóa và ibra rất là xịn Còn con này thì là 1.2 Flappy và bây giờ thì mình sẽ test Mode 2 lớp giúp cho âm mềm và vịnh tai hơn cũng như là hạn chế cái việc thiếu cục bộ anh em nhé Còn đây là KT bia nút tay và giá Tầm 7,5 Con này là một trong con Switch of Dreaming rất là đáng chơi và khi các thì mình sẽ lắp cái gọi moa khủng long xanh theo chuẩn Google của bạn sex cute và cuối cùng thì là mời anh em nghe thành quả nào""",,0.0,0.0,0.0,0.0,0.0,,[],0
",,120,True,2,0,0,3,3,False,6574931595496947713,False,False,Hiền Punnie 🇻🇳,False,False,0,MS4wLjABAAAAmjc7IJcgVX0qo_qoIg0_WMYJrCoBfXLAC5yIwByPJ5oahuNEQAojTeCP8bizGE4p,False,""Saigonese",,0.0,0.0,0.0,0.0,0.0,,[],0
IG: hienpunnie ,,0.0,0.0,0.0,0.0,0.0,,[],0
Review đồ xịn 🫶🏻,,0.0,0.0,0.0,0.0,0.0,,[],0
"Cũng là mình: @Reading w Punnie 📖"",3,True,hienpunnie,False,61300,20300,408,0,760900,760900,280,False,1716547606,Bàn phím cơ giá rẻ chất lượng #banphimcogiare #atas #unboxing #keyboard #desksetup #deskdecor #decorbanhoc #decorbanlamviec ,False,10067.0,0,False,0,False,7372515794535697681,True,0,False,True,,Official Sound Studio,61,6723099489072057095,False,False,r&b loop,False,False,7388906421708851976,False,False,True,False,312,36,1086,121500,175,312,36,1086,121492,0,175,0,False,vi,True,67.41,1208089,,True,True,,,,,h264,540p,19,,normal,mp4,1024,7372515794535697681,540p,2927804,normal,-14.7,1.0,576,False,1738794338,1.0,True,True,True,True,3.0,,,,,,,,,,,,,,,,,,,,,,,,,",,0.0,0.0,0.0,0.0,0.0,,[],0
",,120,False,0,0,0,3,0,False,6772791521395344386,False,False,Duy Luân Dễ Thương,False,False,0,MS4wLjABAAAAinEcRdKGLux-Xx8OjCk3dbxJ0UlxHwWUh_WE6HDkgJK5FSo2pwvseE-pGoBlOTtw,False,""Mình thích công nghệ, nhà cửa, smarthome, nghề làm engineer. luan@lighton.tech"",0,False,duyluandethuong,True,3572,1100000,2164,0,17200000,17200000,1243,False,1691744790,""Bàn phím cơ đẹp, mỏng, gõ lướt được #LearnOnTikTok #ThanhCongNghe "",False,10067.0,0,True,0,False,7265988522153118977,False,0,False,True,,Duy Luân Dễ Thương,68,7265988551228050177,False,True,nhạc nền - Duy Luân Dễ Thương,False,False,,False,False,True,False,1062,62,4963,200900,372,1062,62,4963,200918,0,372,0,True,vi,True,73.09,643219,1.0,True,True,True,vie-VN,vi,10,h264,540p,68,,normal,mp4,1024,7265988522153118977,540p,5531689,normal,-12.5,1.0,576,False,1738794339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bây giờ mình trải nghiệm được một con phím cơ mà các bạn có thể lướt trên bàn phím với tốc độ rất nhanh gõ thì chính xác và Bill quá Toàn là bằng khung nhôm không Đây là cái bàn phím cơ Blue mọc xung quanh Nó là một cái khung làm bằng nhôm nó rất chắc chắn nhưng mà đồng thời vẫn nhẹ một cái điểm đặc biệt Nữa của cái bàn phím này khiến mình thích nó đó là nó dạng lưu profile Các bạn thấy là nó mỏng hơn đáng kể so với lại những cái bàn phím cơ thông thường và với Luffy show thì mình không cần phải dùng nhiều lực để mình sử dụng được và Trung Quốc mà mình gõ Mình có thể lướt trên những cái phím này với tốc độ rất là nhanh và độ chính xác cao tương tự như khi mà mình xài những cái bàn phím Logitech MX key của mình luôn và đương nhiên cái cảm giác gõ cảm giác này thì đã hơn so với lại bàn phím Logitech rồi cái Switch bên dưới mà cái bàn phím này nó sử dụng là 2 in fullbox con này cũng có đèn nền bên dưới nha nó màu trắng nhìn rất là sang ngoài ra nó còn có thêm hai cái đèn trang trí rgb ở hai bên nữa và các bạn nhìn vào cái phần chân mà đến đó nâng cái góc bàn phím lên nè cực kỳ đẹp luôn Nếu thiếu chức năng như là tăng giảm độ sáng hay là chuyển bài hát và điều khiển âm lượng thì nó đều có đầy đủ hết về mặt kết nối thì Hoặc là các bạn kết nối Bluetooth cũng được Còn không thì đi kèm đã có sẵn một cái sợi dây usb-c để các bạn sử dụng vừa xài vừa sạc cũng được sau 2 tuần trải nghiệm của bàn phím này thì mình rất hài lòng với những gì mà nó đem lại cho mình",,0.0,0.0,0.0,0.0,0.0,,[],0
",,120,False,0,0,0,0,0,False,6998177966321304603,False,False,Nghien.Setups,False,False,0,MS4wLjABAAAApXTdagR-RZiWnEPuHXHODvkj96eGUpZYHDMdk1Wx-so2sHPzOZAMF2ZO6SzINuD1,False,""MY BIO: SẢN PHẨM Ở LINK PHÍA DƯỚI NÀY NHÉ",,0.0,0.0,0.0,0.0,0.0,,[],0
"Live mỗi tối thứ 6 hàng tuần 😍"",0,False,nghien.setups,False,5253,246900,125,0,3400000,3400000,547,False,1684989815,Một chiếc bàn phím cơ có màn hình cực hay cho anh em đây #nghiensetup #desksetup #banphimco #phimcocustom #customkeyboard ,False,10067.0,0,True,0,False,7236976134804475142,False,0,False,True,,Nghien.Setups,55,7236976214232730374,False,True,nhạc nền - Nghien.Setups,False,False,,False,False,True,False,835,77,4771,184100,218,835,77,4771,184096,0,218,0,False,vi,True,71.77,1219946,1.0,True,True,True,vie-VN,vi,10,h264,540p,55,,normal,mp4,1024,7236976134804475142,540p,8534593,normal,-14.6,1.0,576,False,1738794341,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""Đây là một chiếc bàn phím cơ có màn hình cực hay cho anh em lúc mới mở hộp ra thì mình còn tưởng đây là IQ xzx 75 cơ nhưng mà không phải anh em ạ Đây là in Phi 75 giá bằng một nửa thôi mà ngon Cũng không kém đâu anh em anh em sẽ có 31 kết nối đầy đủ 2.4ghz taxi và bluetooth 3 thiết bị socket hotshot bạch xuôi có khi mát bằng áp riêng Switch cũng là của kêu khá là mượt rồi đó anh em và một bộ kit cáp Cherry với nhựa pvc Doll Shop Bảo phải công nhận là bộ Kit Kat này có phối màu rất là đẹp và đặc biệt là có cả núm vào màn hình và mình thích kiểu đặt cách xa như thế này hơn và chiếc màn hình này cũng có thể thay đổi hành động rất là đơn giản Ngoài ra thì còn hiển thị được tất cả các thông tin của chiếc bàn phím về chất lượng Build thì phím sẽ được làm bằng nhựa và cấu tạo ở bên trong cũng rất là chắc chắn và một điểm cộng cho em này là có sẵn Hết Farm rồi anh em chỉ cần mua về và dùng thôi Các phần start thì cũng đã được cân hết rồi Không cần phải núp hay mod lại gì cả về âm thanh và cảm giác rõ thì mình thấy nó rất đáng tiền hơn 2 củ full phím và 0,1 thêm tiền để bóp lại hay là thay gì cả thì quá là ok rồi""",,0.0,0.0,0.0,0.0,0.0,,[],0
",,120,False,0,0,0,0,0,False,6970748989322839042,False,False,Ghiền Đập Hộp,False,False,0,MS4wLjABAAAAwwvm-XVXrggEbJzp6z521t6BSA90pemBwm3uzshL-bNNerXQixnAwgkP5dPXvskU,False,""Yêu âm thanh khi unbox 🤤",,0.0,0.0,0.0,0.0,0.0,,[],0
"Tìm đồ ở giỏ hàng, ở linh,",,0.0,0.0,0.0,0.0,0.0,,[],0
