PHÂN LOẠI VIDEO,THÔNG TIN TRÍCH XUẤT THEO LOẠI,THÔNG TIN CHUNG,row_index,THÔNG TIN TRÍCH XUẤT,phan_loai_video,thong_tin_theo_loai,thong_tin_chung,loại_video,thông_tin_loại,thông_tin_chung,thong_tin_video,REVIEW ĐỒ ĂN,NẤU ĂN,MUKBANG,KHÁC,thông_tin_chi_tiet,thong_tin_trich_xuat,thong_tin_review_do_an,thong_tin_loai,error,PHAN_LOAI_VIDEO,THONG_TIN_THEO_LOAI,THONG_TIN_CHUNG,THÔNG TIN BỔ SUNG,thong_tin_khac,video_type,category_info,general_info,PHÂN LOẠI VIDEO (dự phòng - nội dung chính khác với phân loại),THÔNG TIN TRÍCH XUẤT THEO LOẠI (dự phòng - nội dung chính khác với phân loại),THÔNG TIN KHÁC,loai_video,OUTPUT_FORMAT,Lý do phân loại Review đồ ăn,Lý do chọn 'ngoài đường' làm địa điểm,Lưu ý về 'tên_quán',review_info,nau_an_info,mukbang_info,khac_info,THONG_TIN_TRICH_XUAT,Phân loại video,Thông tin trích xuất,Thông tin chung,thông_tin_trích_xuất,message,extracted_info,common_info,phân_loại_video,thông_tin_theo_loại,phan_tich_them,thong_tin_nau_an,thong_tin_mukbang,thong_tin,LƯU Ý,thông_tin_chi_tiết,ghi_chu,1. PHÂN LOẠI VIDEO,2. THÔNG TIN TRÍCH XUẤT THEO LOẠI,3. THÔNG TIN CHUNG
Khác,"{'KHÁC': {'chủ_đề': 'Bữa ăn tiết kiệm với mì gói và tôm lớn', 'từ_khóa': ['mì gói', 'tôm', 'tiết kiệm', 'bữa ăn', 'hải sản'], 'tóm_tắt': 'Video ghi lại bữa ăn mì gói đơn giản được nâng cấp với một con tôm lớn duy nhất do người thực hiện đang trong tình trạng tài chính eo hẹp nhưng vẫn muốn tự thưởng cho bản thân.'}}","{'giá_cả': '250 cành (250.000 VNĐ) cho con tôm', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 1}",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['lẩu lòng', 'bánh hỏi', 'lòng xe điếu', 'giò'], 'địa_điểm': ['Sài Gòn'], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['Set lẩu lòng bánh hỏi: 1,8 triệu', 'Lòng xe điếu: gần 1,5 triệu'], 'tên_quán': 'Lẩu lòng cô bé', 'giờ_hoạt_động': None, 'số_người': '4-5 người'}",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukbang,,"{'giá_cả': None, 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': None}",2,"{'MUKBANG': {'món_chính': ['hột vịt lộn', 'trứng cút lộn'], 'số_người': None, 'đánh_giá': 'tích cực'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['xúc xích vòng hun khói', 'xúc xích vị heo'], 'địa_điểm': [], 'đánh_giá': 'tích cực'}}","{'giá_cả': '175k cho 350g', 'tên_quán': [], 'giờ_hoạt_động': [], 'số_người': []}",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,,"{'tên_quán': 'ak tada', 'số_người': 1}",5,"{'REVIEW ĐỒ ĂN': {'món_chính': ['mì cay'], 'địa_điểm': ['cần thơ', 'nguyễn văn cừ'], 'đánh_giá': ['tích cực']}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,,Review đồ ăn,"{'review_do_an': {'mon_chinh': ['buffet lẩu nướng than', 'buffet hải sản bò', 'tôm sống', 'đồ nướng ướp sốt (ếch, cá kèo, bạch tuộc, ba chỉ nấm kim châm, vú heo, dẻ sườn, mề gà, hàu phô mai, hàu mỡ hành)', 'đồ nướng chưa ướp sốt (bò tảng, tôm càng, viên thả lẩu)', 'đồ nóng (khoai môn chiên, hoành thánh chiên, bánh bao chiên, ốc hấp)', 'tôm sống sốt thái', 'bạch tuộc sốt thái', 'lagu', 'salad', 'tráng miệng (panacotta, xiên kẹo trái cây, bánh lăng, rau câu)'], 'dia_diem': '186 xô viết nghệ tĩnh', 'danh_gia': 'tích cực'}}","{'gia_ca': '149.000đ (buffet)', 'ten_quan': 'buffet nướng ngói yuyu', 'gio_hoat_dong': '16:00 - 23:00', 'khuyen_mai': ['giảm 10% lần đầu', 'voucher đi 5 tính 4'], 'luu_y': ['giá vé buffet đã bao gồm VAT', 'giá vé buffet không bao gồm nước', 'không tính thời gian ăn', 'ăn được cả nướng và lẩu', 'bếp than', 'than gáo dừa']}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['rrosion', 'dennis', 'butterson', 'sausage giro', 'truffle batcho', 'rrosion trứng muối'], 'địa_điểm': 'Sài Gòn', 'đánh_giá': 'tích cực'}}","{'giá_cả': '70k - 95k (cho bánh)', 'tên_quán': 'Miller Miller', 'giờ_hoạt_động': 'mở cửa tới 9:00 tối (sắp tới)', 'số_người': None}",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khác,"{'KHÁC': {'chủ_đề': 'Review túi không khí Đà Lạt', 'từ_khóa': ['túi không khí đà lạt', 'không khí đỉnh Langbiang', 'không khí nhà ma đà lạt', 'quà tặng độc lạ', 'review sản phẩm'], 'tóm_tắt': ""Video review hai loại túi không khí Đà Lạt: 'không khí đỉnh Langbiang' và 'không khí nhà ma Đà Lạt', giá 15.000 đồng mỗi túi. Người review mua sản phẩm để giải trí và cho rằng có thể dùng làm quà tặng độc đáo, hoặc tự làm nhãn dán tương tự để trêu bạn bè.""}}","{'giá_cả': '15.000 cành/túi', 'tên_quán': None, 'giờ_hoạt_động': None, 'số_người': 1}",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['lẩu đài loan', 'lẩu mala signature', 'lẩu collagen'], 'địa_điểm': ['Hà Nội', 'Cầu Giấy', 'Đường Láng', 'Lancaster 1152'], 'đánh_giá': 'tích cực'}}","{'giá_cả': ['150k/người (sau ưu đãi)', '199k/người (set 199)', '249k/người (set 249)', '299k/người (set 299)', 'ưu đãi ăn bốn tính tiền ba'], 'tên_quán': 'Mala nhà hàng lẩu Đài Loan', 'giờ_hoạt_động': 'trưa và tối (giá không đổi)', 'số_người': '1 người trở lên, phù hợp cặp đôi, gia đình, tiệc tùng, liên hoan'}",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Review đồ ăn,"{'REVIEW ĐỒ ĂN': {'món_chính': ['cháo lòng', 'nỏn đuôi ráng', 'lòng trần', 'canh măng tiết', 'lẩu riêu', 'giồi trường'], 'địa_điểm': {'thành_phố': 'sài gòn', 'quận': 'nhất', 'đường': 'trần khắc chân'}, 'đánh_giá': 'tích cực'}}","{'giá_cả': {'canh măng tiết': '50k'}, 'tên_quán': 'Lòng Xe Điếu', 'giờ_hoạt_động': None, 'số_người': 1}",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
