Author ID,Nickname,Unique ID,Verified,Followers,Total Likes,Signature,Profile Picture
7322842785013744645,Thanh Vũ,thanhtamm.1107,False,89500,2100000,Ở đây có những món ăn ngon 🤤,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/07afe109741930c50076b0830be907d1.jpeg?lk3s=a5d48078&nonce=44006&refresh_token=39e22aeaa36e1073fa4d2b802e5ea575&x-expires=1738990800&x-signature=rgi8XlaUdMHkyC2PVJrBTfO7O3w%3D&shp=a5d48078&shcp=b59d6b55
7159171965868655621,Út về vườn,utvevuon99,False,1700000,47700000,Email: utvevuon@gmail.com,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7159193078377185286~c5_100x100.jpeg?lk3s=a5d48078&nonce=89661&refresh_token=5115d2b43becb0e6aa3623ce2d07b300&x-expires=1738990800&x-signature=Jl41eHh%2Bco35gu%2BybVoMIONH2eQ%3D&shp=a5d48078&shcp=b59d6b55
7202965571036578822,กองสลากพลัส,football.uk_,False,913700,12500000,"นอท กองสลากพลัส
✅สนใจสมัครแอดไลน์เลย✅ LINE ID: @ss988 (ใส่@ด้วยนะ) ⏬⏬⏬",https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/dfdd8e58fc324da6b8259d4745f4c11c~c5_100x100.jpeg?lk3s=a5d48078&nonce=66007&refresh_token=2e9938244126d89b042b4ee740661ed2&x-expires=1738990800&x-signature=%2FRzvmG3HN8s9tUpuqotRY5WSddc%3D&shp=a5d48078&shcp=b59d6b55
6992397819210728450,Mẹ Haru Maru,mamaharumaru,False,82700,684900,Mẹ của 2 em bé Haru Maru và có 1 anh chồng nghiện cơm vợ nấu.,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/8619bd1c297abcaedf3f8e5230a07670~c5_100x100.jpeg?lk3s=a5d48078&nonce=73836&refresh_token=6643404eabd38d30c30a0338091c2951&x-expires=1738990800&x-signature=LdMYzhFj1XvwDZydUlWlvj%2B6cO4%3D&shp=a5d48078&shcp=b59d6b55
6566807632777805825,SAPA TV,sapatv,True,1500000,30800000,"NHÀ HÀNG - KHÁCH SẠN - ĐẶC SẢN TÂY BẮC SAPA TV 
Zalo: 0974686389 - 056.3456789",https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/7313394545759092769~c5_100x100.jpeg?lk3s=a5d48078&nonce=19860&refresh_token=3d39132eb33fb093fbd34dbf44a33cf7&x-expires=1738990800&x-signature=U5G0tUpa%2F55%2BEyfQaPYIrXApew8%3D&shp=a5d48078&shcp=b59d6b55
6783945818942718978,Mặt Bự Thích Nấu Ăn,matbu2828,False,778700,20800000,Liên hệ công việc: matbuthichnauan@gmail.com,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/92acd253ead66129308b9284c2c6d0c7.jpeg?lk3s=a5d48078&nonce=38641&refresh_token=f93d8dae47effd46ae09a29abf11a3b7&x-expires=1738990800&x-signature=VibnHb01H6uqBWs5thiF4HBRSmY%3D&shp=a5d48078&shcp=b59d6b55
7151298796110382122,Bếp Của Tui,bepcuatui2,False,311400,2600000,Giúp em lên 400k follow với cả nhà ơi,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7353258774288678958~c5_100x100.jpeg?lk3s=a5d48078&nonce=51045&refresh_token=7b570a023a09be03628f2f20f16f4006&x-expires=1738990800&x-signature=X0GZ59yXx5olsvhb6lMjxgQrwLw%3D&shp=a5d48078&shcp=b59d6b55
7218732513336935450,Linh nấu🍜,vanthuylinh191,False,272500,6800000,"Linh nấu ăn linh tinh ❤️
💌vtlinh19194@gmail.com",https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e8b0ac9cfb10cae31d5366b3dfd45377~c5_100x100.jpeg?lk3s=a5d48078&nonce=51714&refresh_token=79da081925fad2c09041cd75e03aea62&x-expires=1738990800&x-signature=3ocaODKArNL%2FGYn8gMxvRiz9TiA%3D&shp=a5d48078&shcp=b59d6b55
6647796114177163266,Vũ trụ nấu ăn 🍜,thichanvat6in1,False,46500,1600000,"Forwork : 0338.339.197
Email : thienminh260764@gmail.com",https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/3b97138c363cdb6dbcc02c3e5b984d0e~c5_100x100.jpeg?lk3s=a5d48078&nonce=81407&refresh_token=30176dfd7cc5e11f42531d2c28864faa&x-expires=1738990800&x-signature=mwqxkvbppyx6wUh9KvTdpUkURBA%3D&shp=a5d48078&shcp=b59d6b55
65566022051,Bon đây nè,bon.tq1,False,1200000,34800000,-FORWORK: 0969558360,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/1ad595248bb2f5e582492ec0d79f232e~c5_100x100.jpeg?lk3s=a5d48078&nonce=36322&refresh_token=9f06b0b8c53381607aac70453b2e8eb9&x-expires=1738990800&x-signature=Y%2FB%2Fg9Yll6wZFnxVFVAA8XoHGl0%3D&shp=a5d48078&shcp=b59d6b55
6539733356497223682,Thu Huyền nè,eatwithhoen_,False,37600,1100000,"Măm măm cùng em ✌️
Cảm ơn cả nhà xem clip của em💕
💌Fw: anngonyummy@gmail.com",https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/f3ef2f27e5f1ab6a785c5a73b4d24e99.jpeg?lk3s=a5d48078&nonce=99048&refresh_token=75a0f022a054d0ada8862ecf97c8a2e7&x-expires=1738990800&x-signature=4i0eO5bZDAHHD5orGJnQByBSLJ4%3D&shp=a5d48078&shcp=b59d6b55
