Video ID,Bitrate,Codec Type,Quality Type
7389486458689588481,2573642,h264,20
7389486458689588481,2338348,h265_hvc1,2
7389486458689588481,1045647,h265_hvc1,14
7389486458689588481,900432,h265_hvc1,28
7264150534636997889,1676413,h264,20
7264150534636997889,1461515,h265_hvc1,2
7264150534636997889,962598,h264,24
7264150534636997889,930078,h265_hvc1,14
7264150534636997889,799154,h265_hvc1,28
7252259192420060443,2086663,h264,20
7252259192420060443,1394983,h265_hvc1,14
7252259192420060443,1213133,h264,24
7252259192420060443,1161114,h265_hvc1,28
7385897157091462408,2506219,h264,20
7385897157091462408,2246483,h265_hvc1,2
7385897157091462408,1184564,h265_hvc1,14
7385897157091462408,962018,h265_hvc1,28
7290009506044529926,1889028,h264,20
7290009506044529926,1487188,h265_hvc1,2
7290009506044529926,901502,h265_hvc1,14
7290009506044529926,754040,h265_hvc1,28
7399646734143507719,2914948,h265_hvc1,2
7399646734143507719,2869136,h264,20
7399646734143507719,1532729,h265_hvc1,14
7399646734143507719,1232642,h265_hvc1,28
7208499177830108422,2042007,h264,20
7208499177830108422,1816047,h265_hvc1,2
7208499177830108422,1173186,h264,24
7208499177830108422,1049368,h265_hvc1,14
7208499177830108422,852548,h265_hvc1,28
7174625652451282222,1703519,h264,20
7174625652451282222,994259,h264,24
7174625652451282222,848993,h265_hvc1,14
7174625652451282222,814472,h265_hvc1,28
7403370202123062535,2449560,h265_hvc1,2
7403370202123062535,2385765,h264,20
7403370202123062535,1244806,h265_hvc1,14
7403370202123062535,1050860,h265_hvc1,28
7302819619935472904,2776626,h265_hvc1,2
7302819619935472904,2647826,h264,20
7302819619935472904,1709357,h265_hvc1,14
7302819619935472904,1373513,h265_hvc1,28
7445612925357657360,1961255,h265_hvc1,2
7445612925357657360,1876869,h264,20
7445612925357657360,1191577,h265_hvc1,14
7445612925357657360,1004070,h265_hvc1,28
7373155988226067720,2228150,h264,20
7373155988226067720,1833470,h265_hvc1,2
7373155988226067720,1140649,h265_hvc1,14
7373155988226067720,937926,h265_hvc1,28
7332495337766014226,1866674,h265_hvc1,2
7332495337766014226,1321975,h264,20
7332495337766014226,1092022,h265_hvc1,14
7332495337766014226,764163,h265_hvc1,28
7399805813214252295,2151452,h264,20
7399805813214252295,2128448,h265_hvc1,2
7399805813214252295,1217606,h265_hvc1,14
7399805813214252295,1056147,h265_hvc1,28
7435934235216694545,2099918,h264,20
7435934235216694545,930123,h265_hvc1,14
7435934235216694545,774529,h265_hvc1,28
7362478624152374546,2161725,h264,20
7362478624152374546,1056803,h265_hvc1,14
7362478624152374546,849007,h265_hvc1,28
7290014048840633602,1970212,h264,20
7290014048840633602,1571323,h265_hvc1,2
7290014048840633602,910999,h265_hvc1,14
7290014048840633602,697925,h265_hvc1,28
7197387405995904298,1710774,h264,20
7197387405995904298,978767,h264,24
7197387405995904298,788070,h265_hvc1,14
7197387405995904298,673506,h265_hvc1,28
7453016058337758482,1372859,h265_hvc1,2
7453016058337758482,1099539,h264,20
7453016058337758482,699254,h265_hvc1,14
7453016058337758482,592321,h265_hvc1,28
7442898003553176840,1615056,h264,20
